"","title","imdb_id","Budget","MovieID"
"44","The SpongeBob Movie: Sponge on the Run","tt4823776",NA,400160
"45","The Ritual","tt5638642",NA,433808
"46","The Wind Rises","tt2013293",NA,149870
"47","The Two Popes","tt8404614",NA,551332
"48","The Best Offer","tt1924396",NA,152742
"49","Good Time","tt4846232",NA,429200
"50","The Little Prince","tt1754656",NA,309809
"51","Coherence","tt2866360",NA,220289
"52","You Were Never Really Here","tt5742374",NA,398181
"53","Dragon Ball Super: Super Hero","tt14614892",NA,610150
"54","Guillermo del Toro's Pinocchio","tt1488589",NA,555604
"55","Green Room","tt4062536",NA,313922
"56","I Care a Lot","tt9893250",NA,601666
"57","Shazam! Fury of the Gods","tt10151854",NA,594767
"58","They Call Me Jeeg","tt3775086",NA,364433
"59","I Am Mother","tt6292852",NA,505948
"60","Dungeons & Dragons: Honor Among Thieves","tt2906216",NA,493529
"61","After We Fell","tt13069986",NA,744275
"62","The Dead Don't Die","tt8695030",NA,535581
"63","You're Next","tt1853739",NA,83899
"64","Evil Dead Rise","tt13345606",NA,713704
"65","Tom & Jerry","tt1361336",NA,587807
"66","The Boss Baby: Family Business","tt6932874",NA,459151
"67","Irrational Man","tt3715320",NA,282984
"68","Don't Breathe 2","tt6246322",NA,482373
"69","Safe","tt1656190",NA,72387
"70","The French Dispatch","tt8847712",NA,542178
"71","Portrait of a Lady on Fire","tt8613070",NA,531428
"72","Ghostland","tt6195094",NA,476299
"73","Horns","tt1528071",NA,149509
"74","The Raid 2","tt2265171",NA,180299
"75","Sing Street","tt3544112",NA,369557
"76","Paddington 2","tt4468740",NA,346648
"77","A Rainy Day in New York","tt7139936",NA,475303
"78","Guns Akimbo","tt6902676",NA,457335
"79","The First Time","tt1763303",NA,84199
"80","The Beguiled","tt5592248",NA,399019
"81","Where Am I Going?","tt5290524",NA,374416
"82","The Pope's Exorcist","tt13375076",NA,758323
"83","Magic in the Moonlight","tt2870756",NA,229297
"84","Weathering with You","tt9426210",NA,568160
"85","Trolls World Tour","tt6587640",NA,446893
"86","Don't Worry Darling","tt10731256",NA,619730
"87","Dark Waters","tt9071322",NA,552178
"88","Shot Caller","tt4633690",NA,339692
"89","Step Up All In","tt2626350",NA,243683
"90","Shoplifters","tt8075192",NA,505192
"91","The Girl with All the Gifts","tt4547056",NA,375366
"92","The Garden of Words","tt2591814",NA,198375
"93","Orphan: First Kill","tt11851548",NA,760161
"94","tick, tick... BOOM!","tt8721424",NA,537116
"95","The Wolf's Call","tt7458762",NA,484468
"96","Colonia","tt4005402",NA,318781
"97","Babysitting","tt3013602",NA,262551
"98","On My Skin","tt7121252",NA,538362
"99","Vivarium","tt8368406",NA,458305
"100","Stuck in Love","tt2205697",NA,111969
"101","Ip Man 4: The Finale","tt2076298",NA,449924
"102","The Fabelmans","tt14208870",NA,804095
"103","Mr. Holmes","tt3168230",NA,280996
"104","I Want You","tt1797504",NA,109689
"105","Before I Wake","tt3174376",NA,301804
"106","Dragon Ball Z: Resurrection 'F'","tt3819668",NA,303857
"107","A Wrinkle in Time","tt1620680",NA,407451
"108","Batman: The Killing Joke","tt4853102",NA,382322
"109","Mary Queen of Scots","tt2328900",NA,457136
"110","The Death of Stalin","tt4686844",NA,402897
"111","Spiral: From the Book of Saw","tt10342730",NA,602734
"112","Vampire Academy","tt1686821",NA,203739
"113","The Unforgivable","tt11233960",NA,645886
"114","Guy Ritchie's The Covenant","tt4873118",NA,882569
"115","Pain and Glory","tt8291806",NA,519010
"116","Look Who's Back","tt4176826",NA,318917
"117","The Voices","tt1567437",NA,244458
"118","When Marnie Was There","tt3398268",NA,242828
"119","Veronica","tt5862312",NA,441701
"120","Scoob!","tt3152592",NA,385103
"121","Ip Man 3","tt2888046",NA,365222
"122","The Tale of The Princess Kaguya","tt2576852",NA,149871
"123","Filth","tt1450321",NA,85889
"124","Life in a Year","tt6598238",NA,447362
"125","The Guilty","tt6742252",NA,567748
"126","The Cobbler","tt3203616",NA,238215
"127","What's in a Name","tt2179121",NA,112198
"128","Capernaum","tt8267604",NA,517814
"129","It's Only the End of the World","tt4645368",NA,338189
"130","The Brand New Testament","tt3792960",NA,330764
"131","The Wailing","tt5215952",NA,293670
"132","The Ice Road","tt3758814",NA,646207
"133","Ruby Sparks","tt1839492",NA,103332
"134","Get the Gringo","tt1567609",NA,80389
"135","The Hand of God","tt12680684",NA,722778
"136","Iron Sky","tt1034314",NA,10679
"137","Cocaine Bear","tt14209916",NA,804150
"138","Goodnight Mommy","tt3086442",NA,814800
"139","Anon","tt5397194",NA,396806
"140","Blood Father","tt3647498",NA,309886
"141","Hotel Artemis","tt5834262",NA,406761
"142","The Zookeeper's Wife","tt1730768",NA,289222
"143","Burning","tt7282468",NA,858058
"144","Hitchcock","tt0975645",NA,112336
"145","An Officer and a Spy","tt2398149",NA,399121
"146","Dragon Ball Z: Battle of Gods","tt2263944",NA,126963
"147","Who Am I","tt3042408",NA,284427
"148","Blood Red Sky","tt6402468",NA,760883
"149","Those Who Wish Me Dead","tt3215824",NA,578701
"150","Hotel Mumbai","tt5461944",NA,416144
"151","Boss Level","tt7638348",NA,513310
"152","At Eternity's Gate","tt6938828",NA,491472
"153","The Loft","tt1850397",NA,72784
"154","C'est la vie!","tt5699154",NA,432068
"155","2:22","tt1131724",NA,269795
"156","Better Watch Out","tt4443658",NA,406994
"157","Walk of Shame","tt2463288",NA,187596
"158","I Want to Eat Your Pancreas","tt7236034",NA,504253
"159","Tully","tt5610554",NA,400579
"160","Marrowbone","tt5886440",NA,399366
"161","Escape Plan 2: Hades","tt6513656",NA,440471
"162","Absolutely Anything","tt1727770",NA,86828
"163","The Old Man & the Gun","tt2837574",NA,429203
"164","Brain on Fire","tt3704700",NA,340027
"165","A Street Cat Named Bob","tt3606888",NA,404378
"166","Stonehearst Asylum","tt1772264",NA,207933
"167","Land of Mine","tt3841424",NA,335578
"168","Gretel & Hansel","tt9086228",NA,542224
"169","Kill Your Darlings","tt1311071",NA,157370
"170","Color Out of Space","tt5073642",NA,548473
"171","I, Daniel Blake","tt5168192",NA,374473
"172","Babysitting 2","tt4400058",NA,331836
"173","Europa Report","tt2051879",NA,174772
"174","Clown","tt1780798",NA,112454
"175","Shaun the Sheep Movie","tt2872750",NA,263109
"176","Bastille Day","tt2368619",NA,333669
"177","Imperium","tt4781612",NA,374617
"178","Belfast","tt12789558",NA,777270
"179","The Guernsey Literary & Potato Peel Pie Society","tt1289403",NA,451480
