"title","imdb_id","release_year","Budget"
"Agneepath","tt1849718",2012,NA
"Stage Fright","tt2190838",2014,NA
"Hello I Must Be Going","tt2063666",2012,NA
"The Hunting Ground","tt4185572",2015,NA
"Hotel Gagarin","tt7122194",2018,NA
"Dead Awake","tt3778010",2016,NA
"The Call Up","tt3923388",2016,NA
"We the Animals","tt7681824",2018,NA
"Stonewall","tt3018070",2015,2e+06
"The Death of Dick Long","tt9356952",2019,NA
"West of Memphis","tt2130321",2012,NA
"Kiss of the Damned","tt1959438",2012,NA
"The Awakener","tt7878846",2018,NA
"I migliori giorni","tt18554676",2023,NA
"The Nightshifter","tt7986672",2019,NA
"Joy of Fatherhood","tt2979336",2014,NA
"The Divine Order","tt5818818",2017,NA
"The Painted Bird","tt1667354",2019,NA
"House of the Witch","tt6988208",2017,NA
"Dirty Wars","tt2532528",2013,NA
"Drift","tt1714833",2013,NA
"Best of Enemies","tt3518012",2015,750000
"Ruben Brandt, Collector","tt6241872",2018,NA
"Arsenal","tt5580536",2017,NA
"Angel Face","tt7534096",2018,NA
"A Madea Christmas","tt2609758",2013,NA
"Capital","tt1951166",2012,NA
"Storage 24","tt1986953",2012,NA
"Tamasha","tt3148502",2015,NA
"The Wolf House","tt8173728",2018,NA
"Salma's Big Wish","tt4500214",2019,NA
"A Stork's Journey","tt3823116",2017,NA
"Crystal Fairy & the Magical Cactus","tt2332579",2013,NA
"Storm Boy","tt3340446",2019,NA
"Dilili in Paris","tt7169514",2018,NA
"Django","tt6247936",2017,NA
"Flag Day","tt2304637",2021,NA
"Vampire Sisters","tt2186562",2012,NA
"PAW Patrol: Ready, Race, Rescue!","tt11015752",2019,NA
"1987: When the Day Comes","tt6493286",2017,NA
"Microbe and Gasoline","tt3882000",2015,NA
"Ducoboo 3","tt10658928",2020,NA
"Bad Johnson","tt2091325",2014,NA
"Escape from Mogadishu","tt14810692",2021,NA
"Dinosaur Island","tt3261302",2014,NA
"Stree","tt8108202",2018,NA
"Boomerang","tt3582040",2015,4.2e+07
"The Babymakers","tt0835418",2012,NA
"About My Father","tt8373206",2023,NA
"Dil Dhadakne Do","tt4110568",2015,NA
"In the Family","tt7642818",2017,NA
"The Face of Love","tt1839642",2013,4e+06
"As Cool as I Am","tt1906329",2013,NA
"Brillantissime","tt6859344",2018,NA
"Belli ciao","tt16751976",2022,NA
"Do You Believe?","tt4056738",2015,2300000
"Our Struggles","tt7773210",2018,NA
"Do It Like An Hombre","tt6046212",2017,NA
"Here Today","tt10944596",2021,NA
"Blood-C: The Last Dark","tt1941466",2012,NA
"The Jesus Rolls","tt5974030",2019,NA
"I Am Zlatan","tt10400028",2021,NA
"The Old Way","tt8593824",2023,NA
"Lola Versus","tt1710417",2012,NA
"Thale","tt2112287",2012,NA
"Playing Dead","tt2795848",2013,NA
"Straight A's","tt2024506",2013,2e+06
"The Olive Tree","tt3655972",2016,NA
"Drive Hard","tt2968804",2014,1.2e+07
"Carrossel: O Filme","tt4588050",2015,NA
"Altitude","tt4556370",2017,NA
"Kicks","tt4254584",2016,1e+07
"Son of the South","tt2235372",2021,NA
"A Perfect Enemy","tt9421200",2021,NA
"Sisters in Arms","tt7858472",2019,NA
"Agatha and the Truth of Murder","tt9381998",2018,NA
"Interview with a Hitman","tt2061712",2012,NA
"The Butterfly's Dream","tt2608224",2013,NA
"Le Week-End","tt2392326",2013,NA
"The Skin of the Wolf","tt6347150",2018,NA
"Adopt a Daddy","tt8399088",2019,NA
"Two Rabbits","tt1753722",2012,NA
"Always Watching: A Marble Hornets Story","tt2737926",2015,NA
"An Almost Perfect Country","tt5612156",2016,NA
"Corporate","tt5460548",2017,NA
"Anaïs in Love","tt13142240",2021,NA
"Get Well Soon","tt3399054",2014,NA
"Love.com","tt5635808",2017,NA
"Ya Veremos","tt7948540",2018,NA
"Finding Altamira","tt3014910",2016,NA
"Nekrotronic","tt7453418",2018,NA
"A Five Star Life","tt2261434",2013,NA
"Badges of Fury","tt2644714",2013,NA
"Arthur & Merlin: Knights of Camelot","tt7052270",2020,NA
"Newton","tt6484982",2017,NA
"100 Bloody Acres","tt2290065",2012,NA
"Always Shine","tt4392770",2016,NA
"The Portable Door","tt11820950",2023,NA
"Lu Over the Wall","tt6452332",2017,NA
"Monkey Kingdom","tt3660770",2015,NA
"Ordinary Love","tt6012380",2019,NA
"Tanu Weds Manu: Returns","tt2140465",2015,NA
"Miss Hokusai","tt3689910",2015,NA
"Shock Wave 2","tt9597838",2020,NA
"Skate Kitchen","tt7545566",2018,NA
"Restart the Earth","tt16118262",2021,NA
"Nise: The Heart of Madness","tt2168180",2016,NA
"The Devil's Hand","tt2290739",2014,NA
"I Got Life!","tt5628792",2017,NA
"Spirou & Fantasio's Big Adventures","tt6465308",2018,NA
"E Aí... Comeu?","tt2209400",2012,NA
"Heli","tt2852376",2013,1e+06
"The Ritual Killer","tt13141250",2023,NA
"Out in the Dark","tt2318625",2012,NA
"Soul of Hero","tt10254472",2019,NA
"A Promise","tt2191082",2013,NA
"Normandy Nude","tt6923840",2018,NA
"The Furlough","tt5746178",2017,NA
"The Drug King","tt6914542",2018,NA
"Good Deeds","tt1885265",2012,NA
"L.O.R.D: Legend of Ravaging Dynasties","tt4819576",2016,NA
"The Unbelievers","tt2636522",2013,NA
"French Exit","tt10279362",2021,NA
"Raanjhanaa","tt2359810",2013,NA
"The Workshop","tt6444838",2017,NA
"Legend No. 17","tt2182001",2013,NA
"Marina Abramović: The Artist Is Present","tt2073029",2012,NA
"Detective Knight: Rogue","tt21435436",2022,NA
"Anne of Green Gables","tt4820224",2016,NA
"The Young Messiah","tt1002563",2016,16800000
"The Lion Woman","tt4677578",2016,NA
"Renoir","tt2150332",2012,NA
"Vanishing Time: A Boy Who Returned","tt6273736",2016,NA
"Badhaai Ho","tt7725596",2018,NA
"A Thousand Times Good Night","tt2353767",2013,NA
"Foodfight!","tt0249516",2012,4.5e+07
"The Lady in the Car with Glasses and a Gun","tt4159182",2015,NA
"Init!ation","tt7397098",2021,NA
"78/52","tt4372240",2017,NA
"The Ex","tt14253440",2021,NA
"The Bad Poet","tt10290352",2021,NA
"Hichki","tt6588966",2018,NA
"The Strange Color of Your Body's Tears","tt2733258",2013,NA
"Stronger Than The World: The Story of José Aldo","tt3918584",2016,NA
"The Transfiguration","tt5039088",2016,NA
"On the Beach at Night Alone","tt6412864",2017,NA
"Badla","tt8130968",2019,NA
"Let the Girls Play","tt6096948",2018,NA
"Atlas Shrugged: Part II","tt1985017",2012,1e+07
"Mothers' Instinct","tt7377132",2019,NA
"How to Plan an Orgy in a Small Town","tt3919218",2015,NA
"Arctic Dogs","tt4426464",2019,5e+07
"Railroad Tigers","tt4687848",2016,NA
"Loue-moi !","tt6268152",2017,NA
"Museo","tt4958448",2018,NA
"R2B: Return to Base","tt2253742",2012,NA
"The Manny","tt4201004",2015,NA
"At First Light","tt5994166",2018,NA
"The Big Bad Wolf","tt2320274",2013,NA
"God Exists, Her Name Is Petrunya","tt8054608",2019,NA
"Sunshine on Leith","tt2481198",2013,NA
"The Sweet Escape","tt4163644",2015,NA
"The Dark Horse","tt2192016",2014,NA
"French Tech","tt12078024",2021,NA
"Birdboy: The Forgotten Children","tt5004766",2015,NA
"This Is Our Land","tt6144536",2017,NA
"No Mercy","tt9535950",2019,NA
"The Legend of Black Snake","tt7936092",2019,NA
"Arrhythmia","tt6952604",2017,NA
"Gagarin: First in Space","tt2856930",2013,NA
"Dad in Training","tt4386356",2016,NA
"After Lucia","tt2368749",2012,NA
"My Straight Son","tt2091235",2012,NA
"Perfumes","tt11748354",2020,NA
"Tom of Finland","tt5226984",2017,NA
"Red Istanbul","tt5927352",2017,NA
"The Quarry","tt10151054",2020,NA
"Family United","tt2252680",2013,NA
"Expedition Happiness","tt6688136",2017,NA
"From the Dark","tt4030442",2014,NA
"Dynasty Warriors","tt7587604",2021,NA
"Good Day, Ramon","tt2876428",2013,NA
"Onoda: 10,000 Nights in the Jungle","tt9844938",2021,NA
"Güeros","tt3499048",2015,NA
"Badrinath Ki Dulhania","tt6277440",2017,NA
"Zombi Child","tt9056192",2019,NA
"In Their Skin","tt1790869",2012,NA
"What's Love Got to Do with It?","tt13430858",2023,NA
"The Negotiation","tt6904272",2018,NA
"Hi, Mom","tt13364790",2021,NA
"The Pervert's Guide to Ideology","tt2152198",2012,NA
"Ghost Killers vs. Bloody Mary","tt8753660",2018,NA
"Jolly LLB 2","tt5982852",2017,NA
"The Dude in Me","tt9759978",2019,NA
"Special ID","tt2118775",2013,NA
"Rattrapage","tt6286652",2017,NA
"Aloft","tt2494384",2014,8e+06
"Delibal","tt5076214",2015,NA
"Mojave","tt2322517",2016,NA
"Gimme Danger","tt1714917",2016,NA
"The Prophet","tt1640718",2014,NA
"When Hitler Stole Pink Rabbit","tt9106672",2019,NA
"Beautiful Minds","tt13553662",2022,NA
"Kabir Singh","tt8983202",2019,NA
"Child's Pose","tt2187115",2013,NA
"Sweet Family","tt9880982",2019,NA
"Teasing Master Takagi-san: The Movie","tt15313532",2022,NA
"Monster Hunt 2","tt6170484",2018,NA
"We Need Your Vote","tt7241074",2018,NA
"Our Futures","tt3902310",2015,NA
"Doctor Who: Twice Upon a Time","tt6968542",2017,NA
"Great Freedom","tt14775784",2021,NA
"10 Rules for Falling in Love","tt2100371",2012,NA
"American Woman","tt4465572",2018,NA
"The Amityville Murders","tt6984258",2018,NA
"K.G.F: Chapter 2","tt10698680",2022,NA
"Calculator","tt3105350",2014,NA
"Profile","tt7826276",2018,2300000
"Windstorm 3","tt5311972",2017,NA
"The Incident","tt1027820",2012,NA
"Requirements to Be a Normal Person","tt3720724",2015,NA
"Sheep & Wolves","tt3746824",2016,NA
"Mondocane","tt13113298",2021,NA
"The House by the Sea","tt7219324",2017,NA
"Hostage Radio","tt7857374",2019,NA
"Generation Iron","tt2205904",2013,NA
"The Wall","tt1745686",2012,NA
"Hitting the Apex","tt4973112",2015,NA
"Godless Youth","tt5651338",2017,NA
"The Fortress","tt7160176",2017,NA
"Una festa esagerata","tt7730492",2018,NA
"The Canterville Ghost","tt4463248",2016,NA
"Gett: The Trial of Viviane Amsalem","tt3062880",2014,NA
"The Truth About Love Is...","tt5802944",2017,NA
"Dragon Nest: Warriors' Dawn","tt2911342",2014,NA
"Here Comes the Devil","tt2107648",2012,NA
"Father Son Therapy","tt5077538",2016,NA
"Dear Comrades!","tt10796286",2020,NA
"River Runs Red","tt5843780",2018,NA
"The Colors of Fire","tt13217988",2022,NA
"Speed Kills","tt6749318",2018,NA
"A Village Almost Perfect!","tt3324286",2014,NA
"The Blackening","tt11703244",2023,NA
"Les Francis","tt3114432",2014,NA
"Survival Family","tt5890000",2016,NA
"150 Milligrams","tt5247544",2016,NA
"Gangubai Kathiawadi","tt10083340",2022,NA
"Chivas: The Movie","tt9328132",2018,NA
"Gintama: The Movie: The Final Chapter: Be Forever Yorozuya","tt2374144",2013,NA
"Kaabil","tt5460276",2017,NA
"Ill Manors","tt1760967",2012,NA
"3 Hearts","tt2822742",2014,NA
"Shanghai Fortress","tt6628322",2019,NA
"Mean Dreams","tt5160928",2016,NA
"Synonyms","tt7016254",2019,NA
"Hope Gap","tt7587876",2019,NA
"The Amazing Maurice","tt10473036",2022,NA
"Tim and Eric's Billion Dollar Movie","tt1855401",2012,3e+06
"BTS Permission to Dance On Stage - Seoul: Live Viewing","tt18687124",2022,NA
"Not for the Young","tt5205256",2017,NA
"Elis","tt4875150",2016,NA
"The Survivor","tt9242528",2022,NA
"Mohamed Dubois","tt2855342",2013,NA
"Madeleine Collins","tt11310670",2021,NA
"The Railway Children Return","tt14592998",2022,NA
"3 Faces","tt8269552",2018,NA
"Girl in Progress","tt1817676",2012,NA
"Les Cowboys","tt4228294",2015,NA
"Flying Colors","tt4195368",2015,NA
"Lilting","tt2560102",2014,NA
"La solita commedia - Inferno","tt4536222",2015,NA
"Havenhurst","tt3424690",2016,NA
"The Wolf Hour","tt5342950",2019,NA
"Sami Blood","tt5287168",2016,NA
"Se mi vuoi bene","tt9840382",2019,NA
"Paradise Highway","tt7469828",2022,NA
"Kai Po Che!","tt2213054",2013,NA
"A LEGO Brickumentary","tt3214286",2014,NA
"Ghost in the Shell: Arise - Border 4: Ghost Stands Alone","tt4016942",2014,NA
"See You Tomorrow","tt2402565",2013,NA
"Band of Robbers","tt4048668",2016,NA
"Rye Lane","tt15893750",2023,NA
"Belgica","tt3544218",2016,NA
"The Grad Job","tt3041452",2014,NA
"The Rising Hawk","tt7439064",2019,NA
"The Commando","tt12689248",2022,NA
"The Knight of Shadows: Between Yin and Yang","tt7587984",2019,NA
"Thank You Guys","tt15761584",2023,NA
"Cats","tt7886614",2018,1e+08
"The Target","tt3634940",2014,NA
"The Butterfly Room","tt1612782",2012,NA
"The Sex Of The Angels","tt1840911",2012,NA
"The Last Son","tt1800393",2021,NA
"Escape","tt2076850",2012,NA
"Nobody from Nowhere","tt3161960",2014,NA
"Fatima","tt4466544",2015,NA
"The Barrens","tt2050633",2012,NA
"The 2nd","tt11697484",2020,NA
"The Kids Are Alright: Destination Asturias","tt13150080",2021,NA
"Demon Slayer: Kimetsu no Yaiba - Tsuzumi Mansion Arc","tt16492678",2022,NA
"From Afar","tt4721400",2016,NA
"End of the Century","tt9845398",2019,NA
"The Cakemaker","tt4830786",2017,NA
"Post Tenebras Lux","tt1754367",2012,NA
"The Pass","tt5160154",2016,NA
"Anti Matter","tt4881364",2016,NA
"Les Municipaux, ces héros","tt7769530",2018,NA
"7 Boxes","tt2333598",2012,NA
"Bel Canto","tt6046314",2018,NA
"Architecture 101","tt2337981",2012,NA
"Electrick Children","tt2139843",2012,NA
"Chhichhore","tt9052870",2019,NA
"Miss Marx","tt11009666",2020,NA
"The End","tt2046090",2012,NA
"Doctor Who: Deep Breath","tt3469416",2014,NA
"Gauguin: Voyage to Tahiti","tt6330052",2017,NA
"The Cursed: Dead Man's Prey","tt17640714",2021,NA
"Good Gals","tt8383538",2019,NA
"The Hummingbird","tt14589916",2022,NA
"Two Of A Kind","tt17049070",2022,NA
"Metallica & San Francisco Symphony: S&M2","tt10765852",2019,NA
"Esterno Notte (part I)","tt12822708",2022,NA
"Asphalt Burning","tt6527456",2020,NA
"Abzurdah","tt4413338",2015,NA
"Stars 80 : La Suite","tt5254154",2017,NA
"League of Gods","tt5481184",2016,NA
"Grand Central","tt2835548",2013,NA
"The Blue Room","tt3230082",2014,NA
"Polina","tt4383288",2016,NA
"Adults in the Room","tt7493370",2019,NA
"Dum Laga Ke Haisha","tt3495030",2015,NA
"Luck-Key","tt6175078",2016,NA
"CM101MMXI Fundamentals","tt2592910",2013,NA
"Target Number One","tt1656177",2020,NA
"Wazir","tt0315642",2016,NA
"Badlapur","tt3678782",2015,NA
"The Merciless","tt6777370",2017,NA
"Ben 10 Versus the Universe: The Movie","tt13186528",2020,NA
"Jack Strong","tt2785288",2014,NA
"Lansky","tt5078852",2021,5e+06
"My Little Pony: Equestria Girls: Friendship Games","tt4450396",2015,NA
"Slalom","tt9697780",2021,NA
"Breaking","tt12311620",2022,NA
"The Roundup: No Way Out","tt21364552",2023,NA
"Sakra","tt22488024",2023,NA
"The Convent","tt3111516",2018,NA
"Paan Singh Tomar","tt1620933",2012,NA
"Corporate Animals","tt8366502",2019,NA
"Lommbock","tt5075584",2017,NA
"All Is True","tt9206798",2018,NA
"Cezanne and I","tt5078354",2016,NA
"Detective Conan: The Eleventh Striker","tt2131586",2012,NA
"Lost in Paris","tt2936884",2017,NA
"Under the Same Roof","tt7853636",2019,NA
"Kitchen Brigade","tt14280366",2022,NA
"The Pills - Sempre meglio che lavorare","tt4676140",2016,NA
"Prison 77","tt15128358",2022,NA
"Santiago, Italia","tt9015532",2018,NA
"Measuring the World","tt1571401",2012,NA
"Hamilton: In the Interest of the Nation","tt1856014",2012,NA
"Die in a Gunfight","tt1697800",2021,NA
"Authentik","tt15010786",2021,NA
"Don Verdean","tt3534282",2015,NA
"The Fits","tt4238858",2016,170000
"Volontaire","tt7146578",2018,NA
"Orchestra Class","tt1633217",2017,NA
"Compromessi sposi","tt9221510",2019,NA
"Freak Show","tt5089534",2018,NA
"Code Name Banshee","tt15438542",2022,NA
"Napping Princess","tt5731132",2017,NA
"Ti stimo fratello","tt2299577",2012,NA
"The Movie of My Life","tt4012424",2017,NA
"When the Lights Went Out","tt1743993",2012,NA
"Raman Raghav 2.0","tt5662932",2016,NA
"Wedding Association","tt3347976",2013,NA
"The Man Cave","tt3954222",2014,NA
"Get Santa","tt1935940",2014,NA
"The Mayor of Rione Sanità","tt9778888",2019,NA
"The Courier","tt0995845",2012,NA
"Lucia's Grace","tt7133528",2018,NA
"Paper Planes","tt3328716",2014,NA
"Casa Grande","tt3474994",2014,NA
"Il colore nascosto delle cose","tt7120532",2017,NA
"Skinwalker Ranch","tt2881698",2013,NA
"Amulet","tt8332802",2020,NA
"Gaspard at the Wedding","tt5729818",2018,NA
"Pee Mak","tt2776344",2013,NA
"Baaghi","tt4864932",2016,NA
"Un fidanzato per mia moglie","tt3674026",2014,NA
"Regret!","tt2472432",2013,NA
"Jungle Beat: The Movie","tt12139700",2020,NA
"Stations of the Cross","tt3465916",2014,NA
"Sono solo fantasmi","tt10096424",2019,NA
"Three Christs","tt5706370",2017,NA
"Be Afraid","tt3311020",2017,NA
"People Who Are Well","tt3485114",2014,NA
"I Dream in Another Language","tt3278224",2017,NA
"The Alpinist","tt11790780",2021,NA
"Pop Redemption","tt2602664",2013,NA
"A Man Amidst Bees","tt3765088",2015,NA
"The 100 Candles Game","tt12739994",2020,NA
"The Dreamseller","tt5496926",2016,NA
"The New Toy","tt13361648",2022,NA
"The Ninth","tt11253526",2019,NA
"LA 92","tt6794424",2017,NA
"Mobile Suit Gundam Hathaway","tt13288678",2021,NA
"Only","tt3984356",2020,NA
"The Deep","tt1764275",2012,1e+08
"Pathaan","tt12844910",2023,NA
"Dampfnudelblues","tt2969050",2013,NA
"Josep","tt10534996",2020,NA
"Chimpanzee","tt1222815",2012,NA
"Dogtanian and the Three Muskehounds","tt11777920",2021,NA
"Khoobsurat","tt3554418",2014,NA
"Helter Skelter","tt2147319",2012,NA
"Summer in February","tt2184287",2013,NA
"Felicità","tt9894450",2020,NA
"Someday This Pain Will Be Useful to You","tt1703125",2012,NA
"Lola and Her Brothers","tt7721550",2018,NA
"Jimmy P.","tt2210834",2013,NA
"Charlatan","tt6028620",2020,NA
"Blind Detective","tt2332707",2013,NA
"Commitment","tt3144098",2013,NA
"Angelique","tt2776074",2013,NA
"Score: A Film Music Documentary","tt4207112",2017,NA
"Until Forever","tt4061196",2016,NA
"S.O.S.: Women to the Sea 2","tt4358196",2015,NA
"A Small Southern Enterprise","tt2385784",2013,NA
"Dark Touch","tt2328549",2013,NA
"Already Tomorrow in Hong Kong","tt3700804",2016,NA
"I Smile Back","tt3640682",2015,4e+05
"Faut pas lui dire","tt4428714",2017,NA
"Eastern Boys","tt2991092",2013,NA
"Yuppies versus Stooges","tt7294400",2019,NA
"While the Wolf's Away","tt3296156",2017,NA
"War Pigs","tt3779300",2015,NA
"The Major","tt2594950",2013,NA
"Black Butler","tt2630336",2014,NA
"Jesus Henry Christ","tt1393742",2012,NA
"Shaun the Sheep: The Flight Before Christmas","tt15857304",2021,NA
"The Passengers of the Night","tt13846402",2022,NA
"Inside Men","tt3779028",2015,NA
"Sanam Teri Kasam","tt5255710",2016,NA
"Rustom","tt5165344",2016,NA
"Jauja","tt2514338",2014,NA
"Muslum","tt7832124",2018,NA
"Hello, Love, Goodbye","tt10156112",2019,NA
"And While We Were Here","tt1972819",2012,NA
"5Gang: A Different Kind of Christmas","tt11529348",2019,NA
"Won't Back Down","tt1870529",2012,NA
"Dead Before Dawn","tt1989485",2012,NA
"Let the Corpses Tan","tt5827212",2017,NA
"Bangla","tt9639274",2019,NA
"Battle of the Damned","tt2210463",2013,NA
"Detective Conan: Sunflowers of Inferno","tt3737650",2015,NA
"O Concurso","tt2616114",2013,NA
"3 Idiotas","tt3685624",2017,NA
"Sinkhole","tt12664618",2021,NA
"Kundo: Age of the Rampant","tt2972482",2014,NA
"Combustion","tt1899142",2013,NA
"Guernica","tt2556114",2016,NA
"Dreamkatcher","tt10553210",2020,NA
"Sadako","tt9764556",2019,NA
"Rosalie Blum","tt4447076",2016,NA
"Fear Clinic","tt2165765",2014,1e+06
"Her Smell","tt7942742",2019,2500000
"Clip","tt1900908",2012,NA
"Worry Dolls","tt3384350",2016,NA
"Money","tt4715356",2016,NA
"The Armstrong Lie","tt1638364",2013,NA
"Bangkok, We Have A Problem!","tt3985434",2014,NA
"You're Killing Me Susana","tt2538222",2016,NA
"Back of the Net","tt8211214",2019,NA
"Inequality for All","tt2215151",2013,NA
"The Dead Lands","tt3399916",2014,NA
"Recep Ivedik 4","tt3477064",2014,NA
"Gintama","tt5805470",2017,NA
"Most Beautiful Island","tt4866448",2017,NA
"Don't. Get. Out!","tt6686700",2018,NA
"Kids in Love","tt3215826",2016,NA
"Killers","tt2409300",2014,7.5e+07
"Goldstone","tt4911996",2016,NA
"Happy 50","tt20511498",2022,NA
"The Diary Of Anne Frank","tt5277952",2016,NA
"Kuroko's Basketball the Movie: Last Game","tt6728390",2017,NA
"Faultless","tt4776964",2016,NA
"Artificial Paradises","tt2102396",2012,NA
"The Lookout","tt1946298",2012,NA
"Bodied","tt5883570",2018,NA
"Officer Down","tt1925479",2013,NA
"The Last Client","tt17595262",2022,NA
"Archenemy","tt11274100",2020,NA
"Life of a King","tt2708254",2013,NA
"The Guardians","tt2107814",2012,NA
"James White","tt4288636",2015,NA
"Her Blue Sky","tt10981202",2019,NA
"White Elephant","tt2132324",2012,NA
"Diary of a Fleeting Affair","tt14831708",2022,NA
"Rock Dog 2: Rock Around the Park","tt11207240",2021,NA
"Blizzard of Souls","tt6084202",2019,NA
"Like Sunday, Like Rain","tt3104818",2014,NA
"303 Squadron","tt5475734",2018,NA
"Dior and I","tt3539664",2015,NA
"Inmate Zero","tt8406660",2020,NA
"No Date, No Signature","tt6207878",2017,NA
"Sunday's Illness","tt6053948",2018,NA
"Come Back to Me","tt2551396",2014,NA
"Tel Aviv on Fire","tt5791098",2018,NA
"Si muore tutti democristiani","tt8333776",2018,NA
"As Needed","tt7117552",2018,NA
"Polícia Federal: A Lei é Para Todos - Os Bastidores da Operação Lava Jato","tt6471684",2017,NA
"Witches in the Woods","tt8354344",2019,NA
"High Heat","tt15721088",2022,NA
"Road to Paloma","tt2386285",2014,NA
"The Dead Room","tt3952108",2015,NA
"A Bun in the Oven","tt5114982",2016,NA
"Ladies","tt5986246",2017,NA
"Doraemon: New Nobita's Great Demon – Peko and the Exploration Party of Five","tt3949650",2014,NA
"The Invisible War","tt2120152",2012,NA
"Love Is the Perfect Crime","tt3103576",2013,NA
"Schoolgirls","tt10434142",2020,NA
"Eat Locals","tt4401006",2017,NA
"Dino King: Journey to Fire Mountain","tt7659018",2019,NA
"Tai Chi Zero","tt1981080",2012,NA
"Martyrs Lane","tt7413600",2021,NA
"Gasoline Alley","tt14174168",2022,NA
"Assassin Club","tt7720142",2023,NA
"The Most Beautiful Girl in the World","tt7776838",2018,NA
"Psych 2: Lassie Come Home","tt9792884",2020,NA
"We Need to Talk","tt4699534",2016,NA
"Say 'I Love You'","tt3088084",2014,NA
"Zarafa","tt2077908",2012,9100000
"Funhouse","tt6852534",2019,NA
"Cantinflas","tt3005242",2014,NA
"School Is Over","tt8413714",2018,NA
"Dark Web: Cicada 3301","tt8110246",2021,NA
"The Extortion","tt14803538",2023,NA
"What They Had","tt6662736",2018,NA
"Father & Sons","tt7543914",2019,NA
"Saint Omer","tt15376894",2022,NA
"Knock, Knock, It's Mom!","tt9665786",2021,NA
"Jupiter's Moon","tt5842890",2017,NA
"Loosies","tt1568337",2012,NA
"Lost in London","tt6338476",2017,NA
"Simulant","tt13130024",2023,NA
"Appearances","tt9675786",2020,NA
"Puella Magi Madoka Magica the Movie Part I: Beginnings","tt2205948",2012,NA
"Reinventing Marvin","tt5989394",2017,NA
"Kaili Blues","tt4613272",2016,NA
"Doraemon: Nobita's Little Star Wars 2021","tt13740078",2022,NA
"I Am Greta","tt10394738",2020,NA
"The Marquez-Castillo Siblings","tt6507682",2019,NA
"Zaï Zaï Zaï Zaï","tt11557872",2022,NA
"Partisan","tt3155242",2015,NA
"The Man Standing Next","tt11358398",2020,NA
"My Annoying Brother","tt6388082",2016,NA
"Os Parças","tt7702334",2017,NA
"Don't Grow Up","tt3557406",2015,NA
"The Fifth Wheel","tt2491500",2013,NA
"Firestorm","tt3341072",2013,1.9e+07
"Interrogation","tt4497338",2016,NA
"Lockdown all'italiana","tt13116922",2020,NA
"Pickpockets","tt7527694",2018,NA
"So Help Me God","tt5501158",2018,NA
"The Stolen Caravaggio","tt7238112",2018,NA
"Shin Ultraman","tt10737918",2022,NA
"Cocktail","tt2168910",2012,2e+07
"3 Türken und ein Baby","tt3598648",2015,NA
"Wide Load","tt7664096",2019,NA
"The Man Who Sold His Skin","tt10360862",2021,NA
"The Hippopotamus","tt3758708",2017,NA
"Nitro Circus: The Movie","tt1815852",2012,NA
"The Class of ‘92","tt3311384",2013,NA
"Dream Horse","tt9883996",2021,NA
"C'è tempo","tt9731442",2019,NA
"The Exorcism of Carmen Farias","tt10097362",2021,NA
"Thou Shalt Not Hate","tt8571674",2020,NA
"The Night My Mother Killed My Father","tt4480494",2016,NA
"80 for Brady","tt18079362",2023,2.8e+07
"God's Not Dead: We The People","tt14578032",2021,NA
"Jo Pil-ho: The Dawning Rage","tt7738048",2019,NA
"Pusher","tt1921070",2012,NA
"Ilo Ilo","tt2901736",2013,NA
"Enter the Fat Dragon","tt7335600",2020,NA
"There Are No Saints","tt1655444",2022,NA
"Guns, Girls and Gambling","tt1675161",2012,NA
"Baaghi 3","tt8366590",2020,NA
"I Am Not a Witch","tt6213284",2017,NA
"Hot Young Bloods","tt3579990",2014,NA
"Sator","tt10556320",2019,NA
"Last and First Men","tt8015444",2020,NA
"Gabbar Is Back","tt2424988",2015,NA
"Bangalore Days","tt3668162",2014,NA
"Echo Boomers","tt4353270",2020,2500000
"1944","tt3213684",2015,NA
"A Dark Truth","tt2083379",2012,NA
"Clemency","tt5577494",2019,NA
"Settlers","tt9373688",2021,NA
"Money Trap","tt8442644",2019,NA
"God Is a Bullet","tt14270702",2023,NA
"Jolly LLB","tt2621000",2013,NA
"Trading Paint","tt7052494",2019,NA
"Gone in the Night","tt15426294",2022,NA
"Another Day of Life","tt2967856",2018,NA
"Lion's Heart","tt2948472",2013,NA
"Madras Cafe","tt2855648",2013,NA
"The Kindred","tt10306450",2021,NA
"All Is Bright","tt1462901",2013,NA
"Finding Steve McQueen","tt6032328",2019,NA
"Arthur: Malediction","tt19783626",2022,NA
"Tuttapposto","tt10758544",2019,NA
"In Another Country","tt1989712",2012,NA
"The Central Park Five","tt2380247",2012,NA
"Doctor on Call","tt14060826",2021,NA
"Closeness","tt6777056",2017,NA
"Latte and the Magic Waterstone","tt9038290",2019,NA
"The Exorcist","tt14927188",2022,1.2e+07
"Bekas","tt1733105",2012,NA
"Fast Convoy","tt4117206",2016,NA
"Above the Law","tt6901252",2017,NA
"When Animals Dream","tt2818178",2014,NA
"Xico's Journey","tt12481806",2020,NA
"Elevator","tt1728975",2013,NA
"The Package","tt1884457",2012,NA
"Rabid Dogs","tt4379180",2015,NA
"The Last Prosecco","tt6873546",2017,NA
"Doomsday Book","tt2297164",2012,NA
"Offender","tt1821427",2012,NA
"The Stroller Strategy","tt2520516",2012,NA
"Detective Conan: Dimensional Sniper","tt3455204",2014,NA
"Darkland","tt5431082",2017,NA
"The Look of Love","tt1951216",2013,NA
"Master Gardener","tt15342244",2023,NA
