"title","imdb_id","release_year","Budget"
"Cars 3","tt3606752",2017,1.75e+08
"Jurassic World Dominion","tt8041270",2022,1.65e+08
"Everything Everywhere All at Once","tt6710474",2022,2.5e+07
"Jungle Cruise","tt0870154",2021,2e+08
"The Good Dinosaur","tt1979388",2015,187500000
"Red Notice","tt7991608",2021,1.5e+08
"Uncharted","tt1464335",2022,1.2e+08
"After We Collided","tt10362466",2020,NA
"The Matrix Resurrections","tt10838180",2021,1.9e+08
"Guardians of the Galaxy Vol. 3","tt6791350",2023,2.5e+08
"Bullet Train","tt12593682",2022,85900000
"Escape Plan","tt1211956",2013,7e+07
"John Wick: Chapter 4","tt10366206",2023,1e+08
"Wrath of Man","tt11083552",2021,4e+07
"The Expendables 3","tt2333784",2014,1e+08
"Glass Onion: A Knives Out Mystery","tt11564570",2022,NA
"War Dogs","tt2005151",2016,5e+07
"Turning Red","tt8097030",2022,1.75e+08
"Isle of Dogs","tt5104604",2018,NA
"Spider-Man: Across the Spider-Verse","tt9362722",2023,1e+08
"Blue Is the Warmest Color","tt2278871",2013,NA
"Sonic the Hedgehog 2","tt12412888",2022,9e+07
"The Invisible Guest","tt4857264",2017,NA
"Neighbors 2: Sorority Rising","tt4438848",2016,3.5e+07
"The Black Phone","tt7144666",2022,NA
"Perfect Strangers","tt4901306",2016,NA
"The Commuter","tt1590193",2018,4e+07
"The Book Thief","tt0816442",2013,1.9e+07
"Ant-Man and the Wasp: Quantumania","tt10954600",2023,2e+08
"Okja","tt3967856",2017,NA
"The King's Man","tt6856242",2021,NA
"Sing 2","tt6467266",2021,8.5e+07
"Upgrade","tt6499752",2018,3e+06
"Ghostbusters: Afterlife","tt4513678",2021,7.5e+07
"Fast X","tt5433140",2023,3.4e+08
"Old","tt10954652",2021,1.8e+07
"The Autopsy of Jane Doe","tt3289956",2016,NA
"Fantastic Beasts: The Secrets of Dumbledore","tt4123432",2022,NA
"Oppenheimer","tt15398776",2023,1e+08
"The Hunt","tt2106476",2012,18200000
"Space Jam: A New Legacy","tt3554046",2021,1.5e+08
"Morbius","tt5108870",2022,7.5e+07
"Love and Monsters","tt2222042",2020,3e+07
"The Northman","tt11138512",2022,NA
"A Silent Voice: The Movie","tt5323662",2016,NA
"Begin Again","tt1980929",2013,8e+06
"Sin City: A Dame to Kill For","tt0458481",2014,6.5e+07
"The Neon Demon","tt1974419",2016,7500000
"The Croods: A New Age","tt2850386",2020,NA
"Carol","tt2402927",2015,11800000
"Molly's Game","tt4209788",2017,NA
"Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train","tt11032374",2020,NA
"The Lucky One","tt1327194",2012,2.5e+07
"The Killing of a Sacred Deer","tt5715874",2017,NA
"The Disaster Artist","tt3521126",2017,1e+07
"The Handmaiden","tt4016934",2016,NA
"Big Eyes","tt1126590",2014,1e+07
"The Woman in Black","tt1596365",2012,1.5e+07
"Transformers: Rise of the Beasts","tt5090568",2023,1.95e+08
"Nope","tt10954984",2022,6.8e+07
"Swiss Army Man","tt4034354",2016,3e+06
"Before I Fall","tt1691916",2017,5e+06
"Serial (Bad) Weddings","tt2800240",2014,NA
"What We Do in the Shadows","tt3416742",2014,NA
"Blue Jasmine","tt2334873",2013,1.8e+07
"Phantom Thread","tt5776858",2017,3.5e+07
"M3GAN","tt8760708",2022,NA
"Extremely Wicked, Shockingly Evil and Vile","tt2481498",2019,NA
"The Gray Man","tt1649418",2022,2e+08
"A Monster Calls","tt3416532",2016,NA
